view,package,title,license,description,url,authors
Bayesian,abc,Tools for Approximate Bayesian Computation (ABC),GPL (>= 3),"Implements several ABC algorithms for
performing parameter estimation, model selection, and goodness-of-fit.
Cross-validation tools are also available for measuring the
accuracy of ABC estimates, and to calculate the
misclassification probabilities of different models.",NA,"Csillery Katalin [aut],
Lemaire Louisiane [aut],
Francois Olivier [aut],
Blum Michael [aut, cre]"
Bayesian,abn,Modelling Multivariate Data with Additive Bayesian Networks,GPL (>= 2),"Bayesian network analysis is a form of probabilistic graphical models which derives from empirical data a directed acyclic graph, DAG, describing the dependency structure between  random variables. An additive Bayesian network model consists of a form of a DAG where each node comprises a generalized linear model, GLM. Additive Bayesian network models are equivalent to Bayesian multivariate regression using graphical modelling, they generalises the usual multivariable regression, GLM, to multiple dependent variables. 'abn' provides routines to help determine optimal Bayesian network models for a given data set, where these models are used to identify statistical dependencies in messy, complex data. The additive formulation of these models is equivalent to multivariate generalised linear modelling (including mixed models with iid random effects). The usual term to describe this model selection process is structure discovery. The core functionality is concerned with model selection - determining the most robust empirical model of data from interdependent variables. Laplace approximations are used to estimate goodness of fit metrics and model parameters, and wrappers are also included to the INLA package which can be obtained from <http://www.r-inla.org>. A comprehensive set of documented case studies, numerical accuracy/quality assurance exercises, and additional documentation are available from the 'abn' website <http://r-bayesian-networks.org>.",http://r-bayesian-networks.org,"Gilles Kratzer [aut, cre] (<https://orcid.org/0000-0002-5929-8935>),
Fraser Ian Lewis [aut],
Reinhard Furrer [ctb] (<https://orcid.org/0000-0002-6319-2332>),
Marta Pittavino [ctb] (<https://orcid.org/0000-0002-1232-1034>)"
Bayesian,AdMit,Adaptive Mixture of Student-t Distributions,GPL (>= 2),"Provides functions to perform the fitting of an adaptive mixture
of Student-t distributions to a target density through its kernel function as described in
Ardia et al. (2009) <doi:10.18637/jss.v029.i03>. The
mixture approximation can then be used as the importance density in importance
sampling or as the candidate density in the Metropolis-Hastings algorithm to
obtain quantities of interest for the target density itself.",https://github.com/ArdiaD/AdMit,"David Ardia [aut, cre],
Lennart Hoogerheide [ctb],
Herman van Dijk [ctb]"
Bayesian,arm,"Data Analysis Using Regression and Multilevel/Hierarchical
Models",GPL (>= 3),"Functions to accompany A. Gelman and J. Hill, Data Analysis Using Regression and Multilevel/Hierarchical Models, Cambridge University Press, 2007.",https://CRAN.R-project.org/package=arm,"Andrew Gelman [aut],
Yu-Sung Su [aut, cre],
Masanao Yajima [ctb],
Jennifer Hill [ctb],
Maria Grazia Pittau [ctb],
Jouni Kerman [ctb],
Tian Zheng [ctb],
Vincent Dorie [ctb]"
Bayesian,AtelieR,"A GTK GUI for teaching basic concepts in statistical inference,<U+000a>and doing elementary bayesian tests.",GPL (>= 2),"A collection of statistical simulation and computation tools with a GTK GUI, to help teach statistical concepts and compute probabilities. Two domains are covered: I. Understanding (Central-Limit Theorem and the Normal Distribution, Distribution of a sample mean, Distribution of a sample variance, Probability calculator for common distributions), and II. Elementary Bayesian Statistics (bayesian inference on proportions, contingency tables, means and variances, with informative and noninformative priors).",NA,Yvonnick Noel
Bayesian,BaBooN,"Bayesian Bootstrap Predictive Mean Matching - Multiple and
Single Imputation for Discrete Data",GPL (>= 2),"Included are two variants of Bayesian Bootstrap
Predictive Mean Matching to multiply impute missing data. The
first variant is a variable-by-variable imputation combining
sequential regression and Predictive Mean Matching (PMM) that
has been extended for unordered categorical data. The Bayesian
Bootstrap allows for generating approximately proper multiple
imputations. The second variant is also based on PMM, but the
focus is on imputing several variables at the same time. The
suggestion is to use this variant, if the missing-data pattern
resembles a data fusion situation, or any other
missing-by-design pattern, where several variables have
identical missing-data patterns. Both variants can be run as
'single imputation' versions, in case the analysis objective is
of a purely descriptive nature.",http://www.r-project.org,"Florian Meinfelder [aut, cre],
Thorsten Schnapp [aut]"
Bayesian,BACCO,Bayesian Analysis of Computer Code Output (BACCO),GPL,"The BACCO bundle of packages is replaced by the BACCO<U+000a>package, which provides a vignette that illustrates the constituent<U+000a>packages (emulator, approximator, calibrator) in use.",NA,Robin K. S. Hankin
Bayesian,BaM,Functions and Datasets for Books by Jeff Gill,GPL (>= 2),"Functions and datasets for Jeff Gill: ""Bayesian Methods: A Social and Behavioral Sciences Approach"". First, Second, and Third Edition. Published by Chapman and Hall/CRC (2002, 2007, 2014).",NA,"Jonathan Homola <homola@wustl.edu>, Danielle Korman, Jacob Metz, Miguel Pereira <m.pereira@wustl.edu>, Mauricio Vela, and Jeff Gill <jgill@wustl.edu>"
Bayesian,bamlss,"Bayesian Additive Models for Location Scale and Shape (and
Beyond)",GPL-2 | GPL-3,"Infrastructure for estimating probabilistic distributional regression models in a Bayesian framework.
The distribution parameters may capture location, scale, shape, etc. and every parameter may depend
on complex additive terms (fixed, random, smooth, spatial, etc.) similar to a generalized additive model.
The conceptual and computational framework is introduced in Umlauf, Klein, Zeileis (2018)
<doi:10.1080/10618600.2017.1407325>.",http://bayesr.R-Forge.R-project.org,"Nikolaus Umlauf [aut, cre],
Nadja Klein [aut],
Achim Zeileis [aut] (<https://orcid.org/0000-0003-0918-3766>),
Meike Koehler [ctb],
Thorsten Simon [aut] (<https://orcid.org/0000-0002-3778-7738>),
Stanislaus Stadlmann [ctb]"
Bayesian,BART,Bayesian Additive Regression Trees,GPL (>= 2),"Bayesian Additive Regression Trees (BART) provide flexible nonparametric modeling of covariates for continuous, binary, categorical and time-to-event outcomes.  For more information on BART, see Chipman, George and McCulloch (2010) <doi:10.1214/09-AOAS285> and Sparapani, Logan, McCulloch and Laud (2016) <doi:10.1002/sim.6893>.",NA,"Robert McCulloch [aut],
Rodney Sparapani [aut, cre],
Robert Gramacy [aut],
Charles Spanbauer [aut],
Matthew Pratola [aut],
Martyn Plummer [ctb],
Nicky Best [ctb],
Kate Cowles [ctb],
Karen Vines [ctb]"
